age,job,marital,Married,education,Ed,default,Def,balance,housing,House,loan,Personal,contact,day,month,duration,campaign,pdays,previous,Previous,Subscribe
25,blue-collar,single,0,primary,1,no,0,-221,yes,1,no,0,unknown,23,may,250,1,-1,0,0,0
31,services,married,1,secondary,2,no,0,132,no,0,no,0,cellular,7,jul,148,1,152,1,0,0
38,management,divorced,0,unknown,0,no,0,0,yes,1,no,0,cellular,18,nov,96,2,-1,0,0,0
42,management,divorced,0,tertiary,3,no,0,16,no,0,no,0,cellular,19,nov,140,3,-1,0,0,0
44,services,single,0,secondary,2,no,0,106,no,0,no,0,unknown,12,jun,109,2,-1,0,0,0
44,entrepreneur,married,1,secondary,2,no,0,93,no,0,no,0,cellular,7,jul,125,2,-1,0,0,0
26,housemaid,married,1,tertiary,3,no,0,543,no,0,no,0,cellular,30,jan,169,3,-1,0,0,0
41,management,married,1,tertiary,3,no,0,5883,no,0,no,0,cellular,20,nov,182,2,-1,0,0,0
55,blue-collar,married,1,primary,1,no,0,627,yes,1,no,0,unknown,5,may,247,1,-1,0,0,0
67,retired,married,1,unknown,0,no,0,696,no,0,no,0,telephone,17,aug,119,1,105,2,0,0
56,self-employed,married,1,secondary,2,no,0,784,no,0,yes,1,cellular,30,jul,149,2,-1,0,0,0
53,admin.,married,1,secondary,2,no,0,105,no,0,yes,1,cellular,21,aug,74,2,-1,0,0,0
68,retired,divorced,0,secondary,2,no,0,4189,no,0,no,0,telephone,14,jul,897,2,-1,0,0,1
31,technician,married,1,secondary,2,no,0,171,no,0,no,0,cellular,27,aug,81,3,-1,0,0,0
59,management,married,1,secondary,2,no,0,42,no,0,no,0,cellular,21,nov,40,1,-1,0,0,0
32,management,single,0,tertiary,3,no,0,2536,yes,1,no,0,cellular,26,aug,958,6,-1,0,0,1
49,technician,married,1,tertiary,3,no,0,1235,no,0,no,0,cellular,13,aug,354,3,-1,0,0,1
42,admin.,divorced,0,secondary,2,no,0,1811,yes,1,no,0,unknown,14,may,150,1,-1,0,0,0
78,retired,divorced,0,primary,1,no,0,229,no,0,no,0,telephone,22,oct,97,1,-1,0,0,1
32,blue-collar,married,1,secondary,2,no,0,2089,yes,1,no,0,cellular,14,nov,132,1,-1,0,0,1
33,management,married,1,secondary,2,no,0,3935,yes,1,no,0,cellular,6,may,765,1,342,2,0,1
23,services,single,0,tertiary,3,no,0,363,yes,1,no,0,unknown,30,may,16,18,-1,0,0,0
38,management,single,0,tertiary,3,no,0,11971,yes,1,no,0,unknown,17,nov,609,2,101,3,0,0
36,management,single,0,tertiary,3,no,0,553,no,0,no,0,cellular,11,aug,106,2,-1,0,0,0
52,blue-collar,married,1,secondary,2,no,0,1117,yes,1,no,0,cellular,13,may,365,1,-1,0,0,0
32,technician,married,1,tertiary,3,no,0,396,yes,1,no,0,cellular,13,may,205,3,-1,0,0,0
32,technician,single,0,tertiary,3,no,0,2204,yes,1,no,0,cellular,21,nov,11,4,-1,0,0,0
34,management,single,0,tertiary,3,no,0,872,yes,1,no,0,unknown,7,may,105,2,-1,0,0,0
55,blue-collar,married,1,primary,1,no,0,145,no,0,no,0,telephone,2,feb,59,3,5,2,0,0
26,blue-collar,married,1,primary,1,no,0,0,yes,1,no,0,unknown,21,may,425,1,-1,0,0,0
32,entrepreneur,single,0,primary,1,yes,1,-849,yes,1,yes,1,cellular,4,feb,204,1,-1,0,0,0
61,admin.,married,1,unknown,0,no,0,4629,yes,1,no,0,cellular,27,jan,181,1,92,1,1,1
45,blue-collar,divorced,0,primary,1,no,0,844,no,0,no,0,unknown,5,jun,1018,3,-1,0,0,1
37,technician,single,0,secondary,2,no,0,228,yes,1,no,0,cellular,20,aug,1740,2,-1,0,0,0
38,technician,single,0,secondary,2,no,0,50,no,0,no,0,cellular,29,aug,98,2,-1,0,0,0
34,technician,married,1,tertiary,3,no,0,1539,yes,1,no,0,cellular,15,jun,441,1,56,1,0,1
53,blue-collar,married,1,secondary,2,no,0,2231,yes,1,no,0,cellular,14,jul,272,3,-1,0,0,0
48,admin.,married,1,secondary,2,no,0,3064,yes,1,no,0,telephone,15,jul,159,2,-1,0,0,0
57,management,married,1,secondary,2,no,0,82,no,0,yes,1,telephone,4,feb,140,1,-1,0,0,0
33,self-employed,single,0,tertiary,3,no,0,2155,no,0,no,0,cellular,17,nov,295,1,-1,0,0,0
36,retired,single,0,secondary,2,no,0,101,yes,1,yes,1,unknown,26,may,314,1,-1,0,0,0
54,technician,divorced,0,secondary,2,no,0,784,yes,1,yes,1,unknown,15,may,579,1,-1,0,0,0
41,blue-collar,married,1,primary,1,no,0,-516,no,0,yes,1,telephone,8,jul,554,3,-1,0,0,0
63,retired,married,1,secondary,2,no,0,415,yes,1,no,0,cellular,7,oct,323,1,-1,0,0,0
48,management,married,1,tertiary,3,no,0,5887,no,0,no,0,cellular,13,aug,227,2,-1,0,0,0
48,services,married,1,secondary,2,no,0,1355,no,0,no,0,cellular,4,jul,134,2,-1,0,0,0
56,admin.,married,1,secondary,2,no,0,16873,no,0,no,0,cellular,7,oct,223,1,-1,0,0,0
51,blue-collar,divorced,0,secondary,2,no,0,203,yes,1,no,0,cellular,8,may,134,1,170,5,0,0
31,services,married,1,secondary,2,no,0,338,yes,1,no,0,cellular,28,jan,155,1,-1,0,0,0
29,technician,married,1,secondary,2,no,0,444,yes,1,no,0,cellular,21,jul,130,4,-1,0,0,0
41,management,married,1,secondary,2,no,0,0,no,0,yes,1,cellular,7,jul,630,3,-1,0,0,0
32,technician,single,0,tertiary,3,no,0,360,no,0,no,0,cellular,19,nov,164,2,-1,0,0,0
37,management,married,1,tertiary,3,no,0,0,no,0,no,0,cellular,16,jul,268,2,182,3,1,1
42,entrepreneur,divorced,0,tertiary,3,yes,1,2,yes,1,no,0,unknown,5,may,380,1,-1,0,0,0
31,management,single,0,tertiary,3,no,0,6248,yes,1,no,0,unknown,9,may,154,2,-1,0,0,0
41,services,married,1,tertiary,3,no,0,412,yes,1,no,0,unknown,3,jun,154,5,-1,0,0,0
56,retired,married,1,secondary,2,no,0,344,yes,1,no,0,unknown,15,may,221,1,-1,0,0,0
54,management,divorced,0,tertiary,3,no,0,3222,no,0,no,0,cellular,14,aug,67,2,-1,0,0,0
41,blue-collar,divorced,0,secondary,2,no,0,174,yes,1,no,0,cellular,14,may,367,2,297,1,0,0
40,technician,single,0,secondary,2,no,0,591,no,0,yes,1,cellular,14,aug,87,6,-1,0,0,0
50,blue-collar,divorced,0,primary,1,no,0,388,no,0,no,0,cellular,5,feb,701,1,-1,0,0,0
40,unemployed,married,1,secondary,2,no,0,219,yes,1,no,0,cellular,17,nov,204,2,196,1,0,0
27,admin.,divorced,0,secondary,2,no,0,451,yes,1,no,0,cellular,16,jul,652,1,-1,0,0,1
60,retired,married,1,primary,1,no,0,5,no,0,no,0,cellular,26,aug,63,2,-1,0,0,0
28,admin.,single,0,secondary,2,no,0,177,yes,1,yes,1,cellular,6,may,150,1,-1,0,0,0
52,services,married,1,secondary,2,no,0,657,no,0,no,0,telephone,7,jul,398,2,460,2,0,1
37,management,married,1,tertiary,3,no,0,1315,no,0,no,0,cellular,30,jun,224,1,-1,0,0,1
51,blue-collar,married,1,primary,1,no,0,1466,yes,1,no,0,unknown,7,may,406,2,-1,0,0,0
41,technician,single,0,secondary,2,no,0,879,no,0,yes,1,cellular,7,jul,60,4,-1,0,0,0
35,blue-collar,single,0,primary,1,no,0,293,yes,1,no,0,unknown,30,may,521,2,-1,0,0,0
38,admin.,married,1,secondary,2,no,0,424,yes,1,no,0,cellular,17,apr,279,1,-1,0,0,0
34,blue-collar,married,1,secondary,2,no,0,1831,yes,1,no,0,unknown,20,may,203,2,-1,0,0,0
39,blue-collar,married,1,primary,1,no,0,111,no,0,no,0,cellular,18,nov,201,2,-1,0,0,0
34,blue-collar,married,1,primary,1,no,0,455,yes,1,no,0,unknown,20,jun,372,3,-1,0,0,0
27,services,single,0,secondary,2,no,0,-195,yes,1,no,0,cellular,18,may,391,1,-1,0,0,1
32,management,single,0,tertiary,3,no,0,3616,no,0,no,0,cellular,14,aug,165,2,-1,0,0,0
57,blue-collar,married,1,secondary,2,no,0,14093,no,0,no,0,cellular,11,aug,231,5,-1,0,0,0
41,unknown,single,0,tertiary,3,no,0,1567,no,0,no,0,cellular,1,jul,291,2,-1,0,0,0
41,admin.,married,1,tertiary,3,no,0,5426,yes,1,no,0,unknown,14,may,149,2,-1,0,0,0
30,admin.,single,0,tertiary,3,no,0,261,no,0,no,0,cellular,19,oct,233,1,137,20,0,0
36,blue-collar,divorced,0,secondary,2,no,0,2843,no,0,no,0,cellular,12,feb,473,1,182,1,1,0
31,unemployed,single,0,primary,1,no,0,406,no,0,no,0,cellular,4,feb,736,1,-1,0,0,1
36,blue-collar,married,1,secondary,2,no,0,0,yes,1,no,0,unknown,6,may,337,1,-1,0,0,0
38,management,single,0,tertiary,3,no,0,493,yes,1,no,0,cellular,11,may,553,1,367,7,0,0
49,technician,married,1,secondary,2,no,0,5996,no,0,no,0,telephone,21,nov,345,2,-1,0,0,0
57,services,single,0,primary,1,no,0,3777,yes,1,no,0,telephone,13,may,65,2,-1,0,0,0
34,management,single,0,secondary,2,no,0,524,no,0,no,0,unknown,13,aug,9,1,-1,0,0,0
32,management,single,0,tertiary,3,no,0,574,yes,1,no,0,cellular,14,apr,259,2,145,3,0,0
37,blue-collar,married,1,secondary,2,no,0,427,yes,1,yes,1,unknown,9,jun,371,3,-1,0,0,0
33,self-employed,married,1,tertiary,3,no,0,483,yes,1,no,0,cellular,3,feb,280,2,-1,0,0,0
56,unemployed,married,1,primary,1,no,0,3391,no,0,no,0,cellular,21,apr,243,1,-1,0,0,1
27,housemaid,married,1,primary,1,no,0,0,yes,1,no,0,cellular,23,jul,435,3,-1,0,0,0
21,student,single,0,secondary,2,no,0,2488,no,0,no,0,cellular,30,jun,258,6,169,3,1,1
58,management,married,1,tertiary,3,no,0,1517,yes,1,no,0,telephone,29,jul,7,5,-1,0,0,0
32,self-employed,married,1,secondary,2,no,0,217,yes,1,yes,1,cellular,15,jul,317,5,-1,0,0,0
33,blue-collar,single,0,secondary,2,no,0,22,no,0,no,0,cellular,30,jan,76,2,207,1,0,0
25,student,single,0,secondary,2,no,0,331,no,0,no,0,telephone,26,aug,170,4,-1,0,0,1
25,technician,single,0,secondary,2,no,0,505,no,0,yes,1,cellular,17,nov,386,2,-1,0,0,1
30,services,married,1,secondary,2,no,0,1808,yes,1,no,0,cellular,18,may,83,2,-1,0,0,0
22,admin.,single,0,secondary,2,no,0,4111,no,0,yes,1,cellular,19,aug,65,1,-1,0,0,0
39,blue-collar,married,1,primary,1,no,0,52,no,0,no,0,cellular,13,aug,69,1,-1,0,0,0
46,management,divorced,0,tertiary,3,no,0,25,no,0,no,0,unknown,17,jun,564,2,-1,0,0,0
31,admin.,divorced,0,secondary,2,no,0,1890,yes,1,no,0,cellular,21,jul,588,1,-1,0,0,0
45,blue-collar,married,1,primary,1,no,0,419,no,0,no,0,cellular,18,aug,113,4,-1,0,0,0
32,technician,married,1,secondary,2,no,0,2693,yes,1,no,0,unknown,21,may,16,1,-1,0,0,0
36,blue-collar,married,1,secondary,2,no,0,-231,no,0,yes,1,cellular,15,jul,779,2,-1,0,0,0
51,management,single,0,tertiary,3,yes,1,-55,yes,1,no,0,cellular,11,may,281,2,266,6,0,0
34,self-employed,single,0,tertiary,3,no,0,462,no,0,no,0,cellular,21,aug,1877,3,-1,0,0,1
24,unemployed,single,0,secondary,2,no,0,119,no,0,no,0,unknown,15,sep,51,1,-1,0,0,0
45,technician,single,0,secondary,2,no,0,586,no,0,yes,1,cellular,28,jul,32,3,-1,0,0,0
32,blue-collar,single,0,secondary,2,no,0,228,no,0,no,0,telephone,5,feb,176,1,288,3,0,0
77,retired,divorced,0,tertiary,3,no,0,4659,no,0,no,0,cellular,14,apr,161,1,-1,0,0,1
41,blue-collar,married,1,primary,1,no,0,168,yes,1,no,0,cellular,18,nov,187,3,-1,0,0,0
37,blue-collar,married,1,primary,1,no,0,0,yes,1,no,0,unknown,26,may,24,1,-1,0,0,0
43,blue-collar,married,1,unknown,0,yes,1,-715,yes,1,no,0,unknown,30,may,67,3,-1,0,0,0
48,admin.,married,1,unknown,0,no,0,0,yes,1,no,0,cellular,8,may,85,1,168,2,0,0
27,technician,single,0,secondary,2,no,0,769,yes,1,no,0,unknown,9,may,317,2,-1,0,0,0
33,management,single,0,tertiary,3,no,0,0,no,0,no,0,cellular,28,aug,236,10,-1,0,0,0
29,admin.,single,0,secondary,2,no,0,428,yes,1,yes,1,cellular,7,may,54,1,345,2,0,0
34,management,single,0,tertiary,3,no,0,0,no,0,no,0,cellular,5,feb,71,1,-1,0,0,0
52,management,married,1,tertiary,3,no,0,-970,yes,1,no,0,cellular,4,feb,489,1,-1,0,0,1
60,management,married,1,unknown,0,no,0,6313,no,0,no,0,unknown,19,jun,39,2,-1,0,0,0
32,management,divorced,0,tertiary,3,no,0,948,no,0,no,0,cellular,12,aug,204,2,-1,0,0,0
32,management,single,0,tertiary,3,no,0,0,yes,1,no,0,cellular,22,jul,455,2,-1,0,0,0
56,services,divorced,0,unknown,0,no,0,1877,yes,1,no,0,unknown,30,may,86,1,-1,0,0,0
31,management,single,0,tertiary,3,no,0,874,yes,1,no,0,cellular,18,nov,190,2,-1,0,0,0
42,admin.,married,1,secondary,2,no,0,323,yes,1,yes,1,unknown,8,may,280,2,-1,0,0,0
35,management,married,1,tertiary,3,no,0,106,no,0,yes,1,cellular,11,aug,588,2,-1,0,0,0
56,retired,married,1,primary,1,no,0,1906,no,0,yes,1,unknown,19,jun,45,9,-1,0,0,0
48,technician,married,1,secondary,2,no,0,1152,yes,1,no,0,cellular,21,jul,168,5,-1,0,0,0
46,admin.,married,1,secondary,2,no,0,179,yes,1,no,0,cellular,29,jan,194,4,436,1,0,0
37,technician,single,0,unknown,0,no,0,391,yes,1,no,0,unknown,8,may,103,3,-1,0,0,0
41,entrepreneur,married,1,unknown,0,no,0,89,yes,1,no,0,unknown,6,may,333,2,-1,0,0,0
36,management,single,0,tertiary,3,no,0,442,yes,1,yes,1,cellular,29,jul,102,3,-1,0,0,0
45,unemployed,divorced,0,primary,1,yes,1,-249,yes,1,yes,1,unknown,1,jul,92,1,-1,0,0,0
55,entrepreneur,married,1,secondary,2,no,0,8104,no,0,no,0,cellular,6,feb,213,2,-1,0,0,0
39,technician,married,1,secondary,2,no,0,501,no,0,no,0,unknown,26,may,289,1,-1,0,0,0
35,technician,divorced,0,secondary,2,no,0,308,no,0,no,0,cellular,22,aug,77,2,-1,0,0,0
55,admin.,married,1,secondary,2,no,0,602,no,0,no,0,cellular,1,jun,324,3,90,2,1,1
55,technician,married,1,secondary,2,no,0,273,yes,1,no,0,cellular,29,jan,84,3,183,3,0,0
27,self-employed,single,0,secondary,2,no,0,50,no,0,no,0,cellular,29,jan,168,1,-1,0,0,0
34,technician,married,1,secondary,2,no,0,1641,yes,1,no,0,cellular,17,apr,380,1,-1,0,0,0
34,blue-collar,married,1,tertiary,3,no,0,20,no,0,no,0,unknown,4,oct,10,1,-1,0,0,0
25,admin.,single,0,secondary,2,no,0,4590,yes,1,no,0,unknown,28,may,199,2,-1,0,0,0
41,admin.,single,0,secondary,2,no,0,-256,no,0,yes,1,unknown,9,may,35,3,-1,0,0,0
43,services,married,1,secondary,2,no,0,978,yes,1,yes,1,unknown,26,may,82,2,-1,0,0,0
28,management,single,0,tertiary,3,no,0,80,no,0,no,0,cellular,20,oct,676,2,146,2,0,1
31,admin.,single,0,secondary,2,no,0,2104,yes,1,no,0,unknown,3,jun,455,1,-1,0,0,0
78,housemaid,married,1,secondary,2,no,0,499,no,0,no,0,telephone,16,mar,80,4,-1,0,0,0
45,blue-collar,divorced,0,secondary,2,no,0,1269,yes,1,no,0,cellular,29,jan,549,2,-1,0,0,0
48,technician,married,1,tertiary,3,no,0,310,no,0,no,0,unknown,6,may,135,1,-1,0,0,0
32,blue-collar,single,0,secondary,2,no,0,1143,yes,1,yes,1,cellular,10,jul,412,1,-1,0,0,0
42,technician,married,1,secondary,2,no,0,2980,no,0,no,0,unknown,20,jun,101,3,-1,0,0,0
37,management,single,0,tertiary,3,no,0,37,no,0,no,0,cellular,28,jan,253,2,-1,0,0,0
40,admin.,single,0,secondary,2,no,0,462,yes,1,yes,1,cellular,6,apr,272,1,335,4,0,0
32,admin.,married,1,secondary,2,no,0,1031,yes,1,no,0,cellular,17,jul,84,1,-1,0,0,0
42,management,married,1,tertiary,3,no,0,9009,no,0,no,0,cellular,20,nov,135,2,-1,0,0,0
43,admin.,married,1,secondary,2,no,0,-465,yes,1,yes,1,cellular,23,jul,166,1,-1,0,0,0
44,admin.,married,1,secondary,2,no,0,5181,yes,1,yes,1,cellular,31,jul,18,7,-1,0,0,0
37,admin.,married,1,secondary,2,no,0,176,yes,1,no,0,cellular,5,may,147,2,347,1,0,0
37,unknown,married,1,unknown,0,no,0,1699,no,0,no,0,unknown,9,jun,63,1,-1,0,0,0
37,admin.,married,1,tertiary,3,no,0,0,yes,1,no,0,cellular,17,nov,65,2,119,1,0,0
28,technician,single,0,tertiary,3,no,0,172,yes,1,yes,1,cellular,2,feb,194,2,-1,0,0,0
32,services,single,0,secondary,2,no,0,0,no,0,yes,1,cellular,11,jul,333,2,-1,0,0,0
34,admin.,single,0,secondary,2,no,0,6979,yes,1,no,0,cellular,15,may,14,5,-1,0,0,0
40,admin.,divorced,0,secondary,2,no,0,6,no,0,no,0,unknown,11,jun,140,1,-1,0,0,0
34,services,married,1,secondary,2,no,0,-62,yes,1,no,0,unknown,16,jun,109,3,-1,0,0,0
34,self-employed,married,1,tertiary,3,no,0,1972,yes,1,no,0,cellular,23,jul,61,2,-1,0,0,0
34,admin.,married,1,tertiary,3,no,0,899,yes,1,no,0,telephone,19,nov,377,3,7,4,1,0
37,services,single,0,secondary,2,no,0,21,yes,1,no,0,cellular,2,feb,96,1,271,2,0,0
36,technician,married,1,secondary,2,no,0,23,yes,1,no,0,cellular,8,may,152,2,347,1,0,0
56,retired,married,1,secondary,2,no,0,-1206,yes,1,no,0,cellular,15,jun,382,2,-1,0,0,1
49,blue-collar,married,1,primary,1,no,0,0,yes,1,yes,1,telephone,23,jul,97,6,-1,0,0,0
33,self-employed,married,1,secondary,2,no,0,215,yes,1,no,0,cellular,29,jul,543,12,-1,0,0,0
30,management,single,0,tertiary,3,no,0,1372,no,0,no,0,cellular,20,nov,240,2,-1,0,0,0
36,services,married,1,secondary,2,no,0,1981,no,0,no,0,unknown,17,jun,48,2,-1,0,0,0
23,student,single,0,secondary,2,no,0,9216,no,0,no,0,cellular,5,jun,471,2,-1,0,0,0
57,retired,divorced,0,secondary,2,no,0,39,yes,1,no,0,cellular,30,jul,354,3,-1,0,0,0
27,blue-collar,single,0,secondary,2,no,0,5563,yes,1,no,0,unknown,30,may,435,2,-1,0,0,0
38,services,married,1,secondary,2,no,0,1,no,0,yes,1,cellular,21,nov,152,2,-1,0,0,0
42,technician,married,1,tertiary,3,no,0,782,no,0,no,0,cellular,3,apr,285,1,-1,0,0,0
75,retired,married,1,secondary,2,no,0,3771,no,0,no,0,telephone,15,apr,185,1,181,2,1,1
34,technician,single,0,tertiary,3,no,0,992,yes,1,no,0,cellular,4,may,301,1,88,2,1,0
48,technician,married,1,secondary,2,no,0,1526,no,0,no,0,cellular,6,aug,273,2,-1,0,0,0
35,technician,single,0,tertiary,3,no,0,2658,yes,1,no,0,cellular,19,aug,768,2,141,3,0,1
39,management,divorced,0,tertiary,3,no,0,1315,yes,1,no,0,cellular,19,nov,1337,4,126,1,0,0
29,blue-collar,single,0,tertiary,3,no,0,455,no,0,no,0,telephone,21,apr,403,1,-1,0,0,1
45,technician,single,0,tertiary,3,no,0,0,yes,1,no,0,cellular,18,nov,139,2,-1,0,0,0
42,technician,married,1,secondary,2,no,0,2030,yes,1,yes,1,cellular,9,jul,196,1,-1,0,0,0
29,technician,married,1,secondary,2,no,0,1599,yes,1,no,0,cellular,8,jul,115,1,61,1,0,0
38,services,single,0,secondary,2,no,0,-196,yes,1,no,0,cellular,2,feb,60,1,271,1,0,0
56,retired,married,1,secondary,2,no,0,1333,no,0,no,0,cellular,28,aug,17,14,-1,0,0,0
36,technician,single,0,secondary,2,no,0,9149,yes,1,no,0,cellular,13,aug,141,3,-1,0,0,0
25,blue-collar,single,0,secondary,2,no,0,-350,yes,1,no,0,unknown,23,jun,95,3,-1,0,0,0
38,technician,married,1,tertiary,3,no,0,432,yes,1,no,0,cellular,15,may,10,2,373,1,0,0
57,self-employed,married,1,secondary,2,no,0,11494,no,0,no,0,cellular,19,nov,198,1,-1,0,0,0
31,management,married,1,tertiary,3,yes,1,-253,no,0,no,0,cellular,12,aug,220,4,-1,0,0,0
42,management,married,1,tertiary,3,no,0,372,yes,1,no,0,cellular,3,aug,654,2,-1,0,0,1
45,technician,married,1,secondary,2,no,0,1410,no,0,no,0,cellular,11,aug,71,2,-1,0,0,0
30,blue-collar,married,1,secondary,2,no,0,975,yes,1,no,0,cellular,13,may,256,2,351,2,0,0
49,blue-collar,married,1,primary,1,no,0,305,yes,1,yes,1,telephone,10,jul,834,10,-1,0,0,0
49,services,married,1,secondary,2,no,0,400,no,0,no,0,cellular,21,aug,151,3,-1,0,0,0
53,retired,married,1,tertiary,3,no,0,-22,yes,1,no,0,cellular,31,jul,20,3,-1,0,0,0
37,technician,married,1,secondary,2,no,0,4030,yes,1,no,0,unknown,26,may,178,5,-1,0,0,0
49,blue-collar,married,1,primary,1,no,0,365,no,0,no,0,unknown,26,may,59,2,-1,0,0,0
41,self-employed,married,1,primary,1,no,0,204,no,0,no,0,cellular,13,aug,111,7,-1,0,0,0
54,management,married,1,primary,1,no,0,1691,yes,1,no,0,cellular,20,nov,186,1,-1,0,0,0
32,services,single,0,secondary,2,no,0,406,yes,1,no,0,unknown,6,may,227,1,-1,0,0,0
33,technician,married,1,secondary,2,no,0,-204,no,0,no,0,cellular,15,may,297,3,-1,0,0,0
33,technician,married,1,secondary,2,no,0,359,yes,1,no,0,cellular,20,apr,210,1,242,1,0,0
36,blue-collar,married,1,primary,1,no,0,123,yes,1,no,0,cellular,18,may,9,1,-1,0,0,0
35,technician,married,1,tertiary,3,no,0,0,yes,1,yes,1,cellular,23,sep,112,1,62,6,0,0
52,unknown,married,1,secondary,2,no,0,142,no,0,no,0,cellular,25,aug,112,6,-1,0,0,0
40,entrepreneur,married,1,tertiary,3,no,0,3571,no,0,no,0,unknown,9,jun,222,3,-1,0,0,0
44,technician,single,0,secondary,2,no,0,33,yes,1,no,0,cellular,13,may,195,3,351,10,0,0
45,blue-collar,single,0,secondary,2,no,0,0,yes,1,no,0,cellular,26,jul,768,2,91,5,1,0
30,student,single,0,secondary,2,no,0,3096,no,0,no,0,cellular,26,jan,123,1,-1,0,0,0
48,technician,divorced,0,secondary,2,yes,1,20,no,0,no,0,cellular,27,aug,145,3,-1,0,0,0
33,blue-collar,married,1,secondary,2,no,0,3576,yes,1,no,0,cellular,2,apr,124,1,308,2,0,0
57,technician,married,1,unknown,0,no,0,206,yes,1,no,0,unknown,5,may,216,3,-1,0,0,0
57,housemaid,married,1,primary,1,no,0,7082,no,0,no,0,unknown,6,jun,69,3,-1,0,0,0
51,unemployed,married,1,tertiary,3,no,0,1634,yes,1,no,0,cellular,22,jul,168,4,-1,0,0,0
34,admin.,single,0,secondary,2,no,0,1,yes,1,no,0,cellular,22,jul,483,7,-1,0,0,0
50,self-employed,married,1,tertiary,3,no,0,4012,no,0,no,0,cellular,19,nov,690,3,-1,0,0,0
44,management,married,1,tertiary,3,no,0,3762,no,0,no,0,cellular,28,aug,125,12,-1,0,0,0
27,admin.,married,1,secondary,2,no,0,-247,yes,1,yes,1,unknown,4,jun,344,2,-1,0,0,0
50,blue-collar,married,1,secondary,2,no,0,606,yes,1,no,0,unknown,14,may,673,2,-1,0,0,0
36,management,married,1,tertiary,3,no,0,0,yes,1,no,0,cellular,28,jan,60,1,250,1,0,0
42,management,married,1,secondary,2,no,0,-189,yes,1,no,0,unknown,12,may,247,2,-1,0,0,0
32,unemployed,single,0,secondary,2,no,0,0,no,0,no,0,cellular,27,may,123,2,-1,0,0,0
42,management,married,1,tertiary,3,no,0,484,yes,1,no,0,cellular,11,jul,144,2,-1,0,0,0
43,technician,married,1,secondary,2,no,0,0,no,0,yes,1,cellular,8,may,9,2,172,5,0,0
31,management,married,1,tertiary,3,no,0,395,yes,1,no,0,cellular,9,feb,155,3,-1,0,0,0
32,management,married,1,tertiary,3,no,0,2349,no,0,no,0,cellular,14,aug,134,5,-1,0,0,0
55,blue-collar,divorced,0,primary,1,no,0,410,no,0,yes,1,cellular,11,jul,221,2,-1,0,0,0
58,retired,married,1,primary,1,no,0,3401,yes,1,no,0,cellular,3,feb,84,3,265,2,0,0
46,blue-collar,married,1,primary,1,no,0,222,no,0,no,0,cellular,8,aug,71,2,-1,0,0,0
55,blue-collar,married,1,secondary,2,no,0,989,yes,1,yes,1,unknown,23,may,246,4,-1,0,0,0
34,management,married,1,tertiary,3,no,0,415,no,0,yes,1,cellular,23,jul,361,2,-1,0,0,0
28,unemployed,single,0,secondary,2,no,0,16,no,0,no,0,cellular,12,aug,119,4,-1,0,0,0
42,technician,divorced,0,tertiary,3,no,0,7190,yes,1,no,0,cellular,29,jul,375,2,-1,0,0,0
29,blue-collar,single,0,secondary,2,no,0,482,no,0,yes,1,cellular,10,jul,1097,3,-1,0,0,1
54,housemaid,married,1,secondary,2,no,0,209,yes,1,yes,1,cellular,25,jul,97,1,-1,0,0,0
32,technician,single,0,secondary,2,no,0,0,no,0,no,0,cellular,26,aug,181,2,-1,0,0,0
